algorithm,max_cpu,max_mem,max_cpu_per_bin,max_mem_per_bin,number_bins,number_occupied_bins,number_of_allocated_vms,number_of_rejected_vms,number_of_deleted_vms,fragmentation_cpu,fragmentation_mem,vm_size
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3720,7142.4,5,9.6,744,744,83116,16884,0,0.914920023,0.997799117,normal
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,351,3818,0,98081,0.999129917,0.999301548,grande
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3722.5,7147.2,2.5,4.8,1489,1489,82657,17343,0,0.962598838,0.998898181,normal
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,915,3818,0,98081,0.999656804,0.99972363,grande
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
wf,3763,7149.7,1,1.9,3763,3763,85710,14290,0,0.985064033,0.999558604,normal
